Country,Time,Labour force,"Private final consumption expenditure, volume","Gross fixed capital formation, total, volume","Gross domestic product, volume, market prices",Total employment (labour force survey basis),"Imports of goods and services, volume (national accounts basis)","Exports of goods and services, volume (national accounts basis)",Unemployment rate,Countryno,Consumption % per GDP,Investment % per GDP,Net exports % per GDP,Labour productivity,Labour productivity growth
Austria,1997.0,78866108800.0,4.2833460216688,249431126000.0,63202916000.0,139917623600.0,84519918800.0,3673746.975,3838148.14069,2,6.777133545023144e-09,394.65129425357526,-133.7220660088294,0.4517151905087102,0.34762149415241694
Austria,1997.25,82554727200.0,4.02289073966734,250252068800.0,62840426000.0,139647778800.0,86481407200.0,3686377.622,3840892.53199,2,6.401755996478032e-09,398.2342016586584,-137.6147908710517,0.4499923059284635,-0.381409484659212
Austria,1997.5,84407786000.0,4.59695567236669,253231450400.0,63078197600.0,141240182400.0,89120927600.0,3681086.689,3858458.30701,2,7.287709299364459e-09,401.4563827676649,-141.28058489945028,0.4466023515982092,-0.7533360649933485
Austria,1997.75,87573700800.0,4.33329317351968,255842792400.0,63741301600.0,142586975200.0,90271754000.0,3692013.393,3859245.82906,2,6.798250215712068e-09,401.3767933474393,-141.61628288212896,0.4470345311035113,0.09677053955392534
Austria,1998.0,88617763200.0,4.41473102887403,257980118000.0,65432867600.0,144044997200.0,92905497600.0,3687849.187,3858177.33914,2,6.746962483536378e-09,394.2668684140018,-141.98034284349933,0.4542529686688765,1.6147382502077257
Austria,1998.25,90541324400.0,4.53230516994034,260519988000.0,65857138400.0,143432042000.0,92139204800.0,3684969.004,3859911.9949,2,6.8820256695822965e-09,395.5835226512059,-139.902100318097,0.45915220533498363,1.0785260645546524
Austria,1998.5,89987964000.0,4.12491994015832,262072782800.0,65215866000.0,146459040400.0,92308932400.0,3684839.933,3843376.12099,2,6.325025171264797e-09,401.8543321957881,-141.53802321672308,0.4452839908133114,-3.0203959298321204
Austria,1998.75,89983022800.0,4.09490679167187,263070962400.0,65217380400.0,145902387600.0,92193053600.0,3700048.289,3858031.06511,2,6.278858130388614e-09,403.37554312439084,-141.35703241418602,0.4469932361819691,0.3838551135727508
Austria,1999.0,91643264000.0,3.9077896805949,265167782400.0,64325636800.0,147068452000.0,93477523600.0,3702427.6142076,3852994.53712318,2,6.075011262997555e-09,412.22721700284825,-145.31347969863515,0.4373856930240892,-2.1493710374554165
Austria,1999.25,92792497200.0,3.78830695703953,268294925200.0,65693639200.0,147888692800.0,93730651600.0,3683028.51608122,3828046.67457278,2,5.766626728512142e-09,408.40320077746577,-142.67282146775014,0.4442100200915428,1.5602538391848553
Austria,1999.5,95589938800.0,3.57562281240887,271934025200.0,67192746400.0,148777325600.0,96314631600.0,3693291.19281281,3830246.35526305,2,5.321441679319228e-09,404.7074122869906,-143.33532035655443,0.4516329765239442,1.6710465988299061
Austria,1999.75,99132818400.0,3.64588583637365,273518144800.0,67340019600.0,150037465600.0,98489978400.0,3690952.67689837,3830612.43304098,2,5.414144305318335e-09,406.17473298151515,-146.25224054333822,0.4488213615893016,-0.6225442075294407
Austria,2000.0,103519745200.0,3.92682695807168,276585195600.0,68311364400.0,151465853600.0,101829616800.0,3710089.85154313,3861733.44136762,2,5.748424134933074e-09,404.888993258053,-149.06144476035155,0.4510017457822586,0.4858022321478028
Austria,2000.25,107587702400.0,3.40697702195372,278293089200.0,69726304400.0,153477082800.0,104458664000.0,3706069.13132714,3836787.6033546,2,4.886214824191543e-09,399.1220983167437,-149.80710483613223,0.4543108529816283,0.7337238115630917
Austria,2000.5,110524538800.0,3.44161736991593,279645320400.0,69990302400.0,152851225200.0,107165729600.0,3708699.2264278,3840887.89125213,2,4.917277468308138e-09,399.54866718792744,-153.10981268281185,0.4578982098993342,0.7896260664173482
Austria,2000.75,114917981600.0,3.36149689403968,284096921200.0,71737332400.0,154354863600.0,112972676000.0,3727241.79070193,3856891.06402565,2,4.68584038683836e-09,396.02381590648605,-157.47581486346056,0.46475589253800487,1.49764346975243
Austria,2001.0,114323427600.0,3.36364121950565,282926928800.0,70947757200.0,155331628800.0,112747609200.0,3725644.10259848,3855323.34787275,2,4.7410113472983044e-09,398.78206157022817,-158.9111312399561,0.4567502301244137,-1.7225521057673387
Austria,2001.25,114638358800.0,3.59611037897782,282365143600.0,69607050800.0,154611909200.0,112395789200.0,3739637.4108296,3879135.40162193,2,5.166301887017773e-09,405.6559505894193,-161.46647253526388,0.4502049755427249,-1.4330052072236366
Austria,2001.5,115029308400.0,3.62727048948477,282785162800.0,68499437200.0,154074587600.0,109822389600.0,3726409.62549107,3866663.9872273,2,5.295328892840553e-09,412.8284470051091,-160.3205335391785,0.4445862115680912,-1.2480457302499248
Austria,2001.75,114953347600.0,3.77376430143765,284273987200.0,68488383200.0,156096694800.0,110771073600.0,3752608.86108085,3899777.26327802,2,5.510079410719174e-09,415.06891229985996,-161.73154601660812,0.4387561395053959,-1.311347925553552
Austria,2002.0,118462557600.0,4.12279061115327,286448116800.0,68702710400.0,154867044400.0,111677805600.0,3693586.83047655,3852413.78427752,2,6.000914064597472e-09,416.9385969378,-162.5468796834681,0.44362382368808223,1.1094281639394632
Austria,2002.25,119759382400.0,3.80348720307718,288342443200.0,67674286000.0,155714053600.0,111768270800.0,3707311.27378004,3853893.62461238,2,5.620284199344461e-09,426.07386090486426,-165.15070951576234,0.43460615426429305,-2.032728844186149
Austria,2002.5,119538682400.0,3.92879329280658,289397121200.0,66792135600.0,156419060800.0,110978856400.0,3713058.43382761,3864902.46254978,2,5.8821195901491435e-09,433.2802336687076,-166.15001503495296,0.4270076502083178,-1.748365498605986
Austria,2002.75,118892503600.0,3.95328114191673,287759132400.0,65917021200.0,157526790400.0,111600940800.0,3735343.46191579,3889090.12856031,2,5.9973601202669785e-09,436.54753682953134,-169.2995275346849,0.41844959217806804,-2.004193139414412
Austria,2003.0,118724950000.0,4.14512457152417,290163842800.0,69505274800.0,158069061600.0,113967494800.0,3769617.73872905,3932630.15770317,2,5.963755388999873e-09,417.4702475962299,-163.96413870773054,0.43971460383491007,5.081857421859515
Austria,2003.25,118077954400.0,4.32746831636192,290494902800.0,69433597600.0,158681565600.0,113884828000.0,3792570.05447929,3964115.91471233,2,6.232527862508338e-09,418.3780084009358,-164.0143091619748,0.43756561978362535,-0.4887224651041078
Austria,2003.5,121797266000.0,4.23702751337308,291208923600.0,69652104400.0,159527522000.0,116828480800.0,3800533.72212137,3968688.13011428,2,6.083129217518775e-09,418.09063216186183,-167.7259879979705,0.4366149710518289,-0.21725855250386283
Austria,2003.75,124007583600.0,4.42867100159113,291464924800.0,70580323600.0,159326346400.0,118407285600.0,3810778.48467029,3987365.79747022,2,6.274653863433308e-09,412.95492841860533,-167.7570585997077,0.44299216792935886,1.4605996817211642
Austria,2004.0,125720712400.0,5.20468429215024,295054931200.0,69734810400.0,160447724000.0,120393480800.0,3645817.9894025,3845989.60632039,2,7.46353831364291e-09,423.1099640302457,-172.63951001150295,0.43462636091989687,-1.8884774077531863
Austria,2004.25,129434854800.0,5.52292610422093,296915373200.0,69976810800.0,162256763200.0,122334434800.0,3670767.54443161,3885352.70311288,2,7.892509019889386e-09,424.30538031893275,-174.81614642611802,0.43127207408757184,-0.7717633199296969
Austria,2004.5,131646524400.0,5.62577173666392,299698121200.0,71018061600.0,162653364800.0,125933523200.0,3687290.31795183,3907094.53820702,2,7.92160699675295e-09,422.00267713305203,-177.32085764177214,0.4366221485016583,1.2405334672794366
Austria,2004.75,130720131600.0,5.59570241814427,300584345200.0,71383889200.0,164803935200.0,127876178000.0,3702124.14821406,3921563.15235971,2,7.838887010578108e-09,421.0814913121881,-179.13352341672606,0.43314432457799706,-0.7965294329653205
Austria,2005.0,133649385600.0,5.18021128250474,301046553200.0,69290078000.0,163698630000.0,124200859200.0,3719369.88299285,3922567.14900967,2,7.476122746614226e-09,434.4728161512533,-179.2423149388243,0.4232783011073459,-2.277768150434256
